"id","name","sellerId","region","marketplaceId","adStatus","status"
"21656","Hofdeco-US","A2W7EETRLJ7S7B","na","ATVPDKIKX0DER","auth","0"
"21802","Hofdeco-CA","A2W7EETRLJ7S7B","na","A2EUQ1WTGCTBG2","auth","0"
"21803","Hofdeco-MX","A2W7EETRLJ7S7B","na","A1AM78C64UM0Y8","auth","0"
"21805","Hofdeco-EU-UK","A5MUFWYS31I5A","eu","A1F83G8C2ARO7P","auth","0"
"21806","Hofdeco-AU","A1CBC7KHFM2RAW","fe","A39IBJ37TRP1C6","auth","2"
"21809","Paws Wishes-US","A165NKHT1SIMZ6","na","ATVPDKIKX0DER","auth","0"
"21810","Paws Wishes-CA","A165NKHT1SIMZ6","na","A2EUQ1WTGCTBG2","auth","0"
"21811","Paws Wishes-MX","A165NKHT1SIMZ6","na","A1AM78C64UM0Y8","auth","0"
"50882","Crumbs Home-US","A3VRL1638NE082","na","ATVPDKIKX0DER","auth","0"
"50883","Crumbs Home-CA","A3VRL1638NE082","na","A2EUQ1WTGCTBG2","auth","0"
"50884","Crumbs Home-MX","A3VRL1638NE082","na","A1AM78C64UM0Y8","auth","0"
"558676","Hofdeco Premium (HK)-US","A2LRO9LBRYFOAR","na","ATVPDKIKX0DER","auth","0"
"558677","Hofdeco Premium (HK)-CA","A2LRO9LBRYFOAR","na","A2EUQ1WTGCTBG2","auth","0"
"558678","Hofdeco Premium (HK)-MX","A2LRO9LBRYFOAR","na","A1AM78C64UM0Y8","auth","0"
